District ID,District Number,Operating Cost Per Student,County Name
2110,NYSSA SCH DIST 26,$7595.11,MALHEUR
2107,JORDAN VALLEY SCH DIST 3,$11777.23,MALHEUR
1922,West Linn-Wilsonville SD 3J,$7253.62,CLACKAMAS
2139,Cascade SD 5,$7400.23,MARION
1990,Oakland SD 1,$9104.14,DOUGLAS
1933,Astoria SD 1,$8535.23,CLATSOP
2217,ELGIN SCH DIST 23,$8206.99,UNION
2249,MITCHELL SCH DIST 55,$13995.62,WHEELER
4131,North Wasco SD 21,$3690.17,WASCO
2048,MEDFORD SCH DIST 549,$6627.88,JACKSON
2054,GRANTS PASS SCH DIST 7,$6703.65,JOSEPHINE
2046,BUTTE FALLS SCH DIST 91,$9856.80,JACKSON
2011,DAYVILLE SCH DIST 16J,$13962.38,GRANT
2047,Pinehurst SD 94,$18666.07,JACKSON
2099,Harrisburg SD 7J,$7969.98,LINN
2207,PENDLETON SCH DIST 16,$6933.83,UMATILLA
2210,Ukiah SD 80R,$17375.21,UMATILLA
2056,KLAMATH FALLS CITY SCHOOLS,$9342.61,KLAMATH
2015,Harney County SD 4,$13527.06,HARNEY
2096,Siuslaw SD 97J,$8324.14,LANE
2114,HARPER SCH DIST 66,$10895.06,MALHEUR
2059,LAKEVIEW SCH DIST 7,$6950.41,LAKE
2039,PHOENIX-TALENT SCH DIST 4,$6344.94,JACKSON
2045,Prospect SD 59,$11484.41,JACKSON
2055,THREE RIVERS SCH DIST,$6974.49,JOSEPHINE
2197,TILLAMOOK SCH DIST 9,$6899.12,TILLAMOOK
2201,Helix SD 1,$9834.15,UMATILLA
2180,Portland Sch Dist 1j,$8086.23,MULTNOMAH
2251,YAMHILL-CARLTON SCH DIST 1,$6839.50,YAMHILL
2221,ENTERPRISE SCH DIST 21,$7823.40,WALLOWA
2092,Lowell SD 71,$11142.56,LANE
1898,MONROE SCH DIST 1J,$7345.39,BENTON
2083,Springfield SD 19,$8119.54,LANE
2011,Dayville SD 16J,$19072.43,GRANT
2101,Lebanon Community SD 9,$7214.27,LINN
2220,Wallowa SD 12,$10386.91,WALLOWA
1977,REDMOND SCH DIST 2J,$6201.68,DESCHUTES
1973,Port Orford-Langlois SD 2CJ,$13790.60,CURRY
1993,Douglas County SD 15,$12529.84,DOUGLAS
2015,CRANE SCH DIST 4,$10811.53,HARNEY
2187,David Douglas SD 40,$8527.46,MULTNOMAH
2247,Spray SD 1,$18225.91,WHEELER
2090,MCKENZIE SCH DIST 68,$10167.19,LANE
3997,Ione School District R2,$11957.45,MORROW
1899,Alsea SD 7J,$12693.73,BENTON
2181,PARKROSE SCH DIST 3,$6362.00,MULTNOMAH
1936,WARRENTON-HAMMOND SCH DIST 30,$7476.98,CLATSOP
2000,GLENDALE SCH DIST 77,$8012.90,DOUGLAS
2039,Phoenix-Talent SD 4,$7619.74,JACKSON
2088,Bethel SD 52,$8223.32,LANE
2191,CENTRAL SCH DIST 13J,$6953.86,POLK
2248,Fossil SD 21J,$16792.79,WHEELER
1944,Scappoose SD 1J,$7835.31,COLUMBIA
1993,DAYS CREEK SCH DIST 15,$9086.77,DOUGLAS
2012,LONG CREEK SCH DIST 17,$13644.89,GRANT
2087,South Lane SD 45J3,$8387.93,LANE
2144,ST PAUL SCH DIST 45,$7931.16,MARION
1900,PHILOMATH SCH DIST 17J,$5932.23,BENTON
2021,Double O SD 28,$52617.92,HARNEY
2205,Milton-Freewater Sch Dist 7,$6308.08,UMATILLA
2142,Salem-Keizer SD 24J,$9085.20,MARION
1923,Lake Oswego SD 7J,$7761.90,CLACKAMAS
2253,DAYTON SCH DIST 8,$6678.88,YAMHILL
2081,Pleasant Hill SD 1,$8732.06,LANE
1969,Bandon SD 54,$9571.37,COOS
1895,HUNTINGTON SCH DIST 16J,$13959.30,BAKER
2047,PINEHURST SCH DIST 94,$12179.08,JACKSON
2208,Athena-Weston SD 29RJ,$8632.58,UMATILLA
1923,LAKE OSWEGO SCH DIST 7J,$5717.69,CLACKAMAS
2009,PRAIRIE CITY SCH DIST 4,$8792.28,GRANT
2087,SOUTH LANE SCH DIST 45J,$6283.22,LANE
1978,Sisters SD 6,$9041.13,DESCHUTES
2063,ADEL SCH DIST 21,$13379.96,LAKE
2195,SHERMAN SCH DIST 1J,$10698.65,SHERMAN
3997,Ione SD R2,$13307.02,MORROW
2044,Rogue River SD 35,$7913.60,JACKSON
2109,Juntura SD 12,$18518.44,MALHEUR
2059,Lake County SD 7,$9095.07,LAKE
2111,ANNEX SCH DIST 29,$8593.46,MALHEUR
1976,Bend-LaPine Administrative SD 1,$8012.17,DESCHUTES
2103,SCIO SCH DIST 95,$6902.59,LINN
2183,Gresham-Barlow SD 10J,$8412.66,MULTNOMAH
1897,Pine Eagle SD 61,$14808.47,BAKER
2198,NEAH-KAH-NIE SCH DIST 56,$9057.24,TILLAMOOK
2095,BLACHLY SCH DIST 90,$11781.35,LANE
2188,Riverdale SD 51J,$11784.49,MULTNOMAH
2061,North Lake SD 14,$11278.32,LAKE
2141,North Marion SD 15,$9515.65,MARION
1974,Brookings-Harbor SD 17C,$8107.34,CURRY
2104,Santiam Canyon Sch Dist 129j,$8049.47,LINN
2111,Annex SD 29,$10207.21,MALHEUR
2249,Mitchell SD 55,$17260.61,WHEELER
2110,Nyssa SD 26,$9581.11,MALHEUR
2008,JOHN DAY SCH DIST 3,$7111.73,GRANT
1999,Riddle SD 70,$8877.81,DOUGLAS
2143,NORTH SANTIAM SCH DIST 29J,$6551.58,MARION
2199,Nestucca Valley SD 101J,$11008.64,TILLAMOOK
2254,NEWBERG SCH DIST 29J,$6030.90,YAMHILL
2060,PAISLEY SCH DIST 11,$12190.14,LAKE
2203,Echo SD 5,$9158.73,UMATILLA
2195,Sherman County SD,$13442.31,SHERMAN
2248,FOSSIL SCH DIST 21J,$14261.06,WHEELER
1974,BROOKINGS-HARBOR SCH DIST 17,$6618.25,CURRY
2262,Knappa SD 4,$8553.15,CLATSOP
2096,SIUSLAW SCH DIST 97J,$6742.99,LANE
2022,South Harney SD 33,$16751.83,HARNEY
2043,EAGLE POINT SCH DIST 9,$6765.48,JACKSON
2142,SALEM/KEIZER SCH DIST 24J,$6842.19,MARION
1896,Burnt River SD 30J,$18012.26,BAKER
2006,Condon SD 25J,$14807.56,GILLIAM
2239,HILLSBORO SCH DIST 1J,$6814.52,WASHINGTON
2062,Plush SD 18,$33839.83,LAKE
2188,RIVERDALE SCH DIST 51J,$9640.64,MULTNOMAH
2190,Dallas SD 2,$7486.26,POLK
1946,Rainier SD 13,$7747.04,COLUMBIA
2216,Cove SD 15,$9225.96,UNION
1948,St Helens SD 502,$7131.07,COLUMBIA
1901,CORVALLIS SCH DIST 509J,$6628.04,BENTON
1927,COLTON SCH DIST 53,$6435.38,CLACKAMAS
1996,North Douglas SD 22,$9027.79,DOUGLAS
2226,CHENOWITH SCH DIST 9,$7771.28,WASCO
1936,Warrenton-Hammond SD 30,$7839.01,CLATSOP
2006,CONDON SCH DIST 25J,$11143.78,GILLIAM
2100,Greater Albany Public SD 8J,$7286.30,LINN
2205,Milton-Freewater Unified SD 7,$8099.78,UMATILLA
2244,SHERWOOD SCH DIST 88J,$6046.06,WASHINGTON
2245,Gaston SD 511J,$10004.08,WASHINGTON
2020,Frenchglen SD 16,$19050.41,HARNEY
2182,REYNOLDS SCH DIST 7,$6640.92,MULTNOMAH
2140,Jefferson SD 14J,$9514.04,MARION
2225,South Wasco County SD 1,$13424.98,WASCO
2206,HERMISTON SCH DIST 8,$7106.57,UMATILLA
2086,Creswell SD 40,$8041.01,LANE
2109,JUNTURA SCH DIST 12,$25378.13,MALHEUR
2010,MONUMENT SCH DIST 8,$12286.33,GRANT
2097,Lincoln County SD,$9889.54,LINCOLN
1924,North Clackamas SD 12,$7951.00,CLACKAMAS
1972,CENTRAL CURRY 1,$6953.00,CURRY
1973,PORT ORFORD-LANGLOIS SCH DIST 2J,$9741.76,CURRY
2207,Pendleton SD 16,$8588.48,UMATILLA
2081,PLEASANT HILL SCH DIST 1,$6956.47,LANE
1894,Baker SD 5J,$8409.51,BAKER
2244,Sherwood SD 88J,$7231.14,WASHINGTON
2063,Adel SD 21,$18632.63,LAKE
2145,MT ANGEL SCH DIST 91,$6879.95,MARION
2187,DAVID DOUGLAS SCH DIST 40,$6389.52,MULTNOMAH
2140,JEFFERSON SCH DIST 14J,$7676.21,MARION
1948,ST HELENS SCH DIST 502,$6432.26,COLUMBIA
2000,Glendale SD 77,$10714.54,DOUGLAS
2190,DALLAS SCH DIST 2,$5857.92,POLK
2147,Morrow SD 1,$8681.60,MORROW
2217,Elgin SD 23,$10968.97,UNION
2221,Enterprise SD 21,$8503.85,WALLOWA
1994,South Umpqua SD 19,$8621.00,DOUGLAS
2016,PINE CREEK SCH DIST 5,$12730.97,HARNEY
2101,LEBANON COMMUNITY SCH DIST 9,$5933.46,LINN
2208,ATHENA-WESTON SCH DIST 29J,$6894.60,UMATILLA
2001,Reedsport SD 105,$10446.25,DOUGLAS
2193,Falls City SD 57,$12937.98,POLK
2256,MCMINNVILLE SCH DIST 40,$5965.22,YAMHILL
2191,Central SD 13J,$8379.57,POLK
2023,Harney County Union High SD 1J,$18412.75,HARNEY
2212,LA GRANDE SCH DIST 1,$6976.61,UNION
1997,Yoncalla SD 32,$9734.32,DOUGLAS
1927,Colton SD 53,$8513.10,CLACKAMAS
2193,FALLS CITY SCH DIST 57,$8905.52,POLK
2215,Imbler SD 11,$9526.85,UNION
2105,Central Linn SD 552,$9383.31,LINN
2024,HOOD RIVER CO SCH DIST 1,$7089.02,HOOD RIVER
2108,ONTARIO SCH DIST 8,$6911.89,MALHEUR
1947,VERNONIA SCH DIST 47J,$7150.26,COLUMBIA
1966,North Bend SD 13,$8719.62,COOS
2054,Grants Pass SD 7,$8270.09,JOSEPHINE
2082,EUGENE SCH DIST 4J,$6409.12,LANE
1925,Molalla River Sch Dist 35,$6839.93,CLACKAMAS
1945,Clatskanie Sch Dist 6j,$7221.34,COLUMBIA
2116,VALE SCH DIST 84,$7450.06,MALHEUR
2192,PERRYDALE SCH DIST 21,$6673.03,POLK
2214,North Powder SD 8J,$11725.15,UNION
2145,Mt Angel SD 91,$8560.20,MARION
1970,CROOK COUNTY SCH DIST,$7077.46,CROOK
2057,Klamath County SD,$9203.17,KLAMATH
2102,Sweet Home SD 55,$8000.35,LINN
2197,Tillamook SD 9,$8211.93,TILLAMOOK
2219,JOSEPH SCH DIST 6,$8413.98,WALLOWA
2137,Gervais Sch Dist 1,$8013.31,MARION
1964,COQUILLE SCH DIST 8,$7510.14,COOS
2222,TROY SCH DIST 54,$21661.58,WALLOWA
2084,Fern Ridge SD 28J,$7966.40,LANE
2089,Crow-Applegate-Lorane SD 66,$10748.27,LANE
1967,Powers SD 31,$16597.01,COOS
2183,GRESHAM-BARLOW SCH DIST 10J,$6975.63,MULTNOMAH
2212,La Grande SD 1,$8683.69,UNION
1968,MYRTLE POINT SCH DIST 41,$7852.18,COOS
2107,Jordan Valley SD 3,$14994.40,MALHEUR
1928,OREGON CITY SCH DIST 62,$6355.53,CLACKAMAS
2042,CENTRAL POINT SCH DIST 6,$5976.24,JACKSON
2185,Centennial SD 28J,$7761.92,MULTNOMAH
2214,NORTH POWDER SCH DIST 8J,$9334.73,UNION
1926,Oregon Trail SD 46,$8540.46,CLACKAMAS
1947,Vernonia SD 47J,$10885.29,COLUMBIA
1999,RIDDLE SCH DIST 70,$6897.61,DOUGLAS
2055,Three Rivers/Josephine County SD,$8555.85,JOSEPHINE
2082,Eugene SD 4J,$8432.03,LANE
1931,GLADSTONE SCH DIST 115,$6341.02,CLACKAMAS
2112,Malheur County SD 51,$0.00,MALHEUR
2050,CULVER SCH DIST 4,$6601.51,JEFFERSON
2005,Arlington SD 3,$17186.41,GILLIAM
2186,Corbett SD 39,$7798.77,MULTNOMAH
2002,WINSTON-DILLARD SCH DIST 116,$7210.80,DOUGLAS
2012,Long Creek SD 17,$22193.94,GRANT
1968,Myrtle Point SD 41,$9870.84,COOS
2252,Amity SD 4J,$8440.01,YAMHILL
2241,FOREST GROVE SCH DIST 15,$6722.29,WASHINGTON
1969,BANDON SCH DIST 54,$7535.23,COOS
2213,Union SD 5,$8445.09,UNION
1897,PINE-EAGLE SCH DIST 061,$11780.16,BAKER
2113,ADRIAN SCH DIST 61,$8802.63,MALHEUR
2247,SPRAY SCH DIST 1,$14285.60,WHEELER
2091,JUNCTION CITY SCH DIST 69,$6379.62,LANE
2202,Pilot Rock SD 2,$10046.45,UMATILLA
